Title,Authors,Published,Updated,Summary,ID,Categories,Real_Categories
"New method for calculating electromagnetic effects in semileptonic
  beta-decays of mesons","['Chien-Yeah Seng', 'Xu Feng', 'Mikhail Gorchtein', 'Lu-Chang Jin', 'Ulf-G. Meißner']",2020-09-01T14:14:03Z,2020-10-24T20:24:01Z,"We construct several classes of hadronic matrix elements and relate them to
the low-energy constants in Chiral Perturbation Theory that describe the
electromagnetic effects in the semileptonic beta decay of the pion and the
kaon. We propose to calculate them using lattice QCD, and argue that such a
calculation will make an immediate impact to a number of interesting topics at
the precision frontier, including the outstanding anomalies in $|V_{us}|$ and
the top-row Cabibbo-Kobayashi-Maskawa matrix unitarity.",http://arxiv.org/abs/2009.00459v2,[],[]
Proton spin after 30 years: what we know and what we don't?,"['Xiangdong Ji', 'Feng Yuan', 'Yong Zhao']",2020-09-02T18:38:59Z,2020-09-02T18:38:59Z,"More than three decades has passed since the European Muon Collaboration
published the first surprising result on the spin structure of the proton. Much
theoretical and experimental progress has been made in understanding the
origins of the proton spin. In this review, we will discuss what we have
learned so far, what are still missing, and what we shall expect to learn from
the upcoming experiments including JLab 12 GeV and Electron-Ion Collider. In
particular, we focus on first principles calculations and experimental
measurements of the total gluon helicity $\Delta G$, and quark and gluon
orbital angular momenta.",http://arxiv.org/abs/2009.01291v1,[],[]
Modified lepton couplings and the Cabibbo-angle anomaly,"['Antonio Coutinho', 'Andreas Crivellin', 'Claudio Andrea Manzari']",2020-09-08T17:35:19Z,2020-09-08T17:35:19Z,"Significant discrepancies between the different determinations of the Cabibbo
angle have been observed. Here, we point out that this ""Cabibbo-angle anomaly""
can be explained by lepton flavour universality (LFU) violating New Physics
(NP) in the neutrino sector. However, modified neutrino couplings to Standard
Model gauge bosons also affect many other observables sensitive to LFU
violation, which have to be taken into account in order to assess the viability
of this explanation. Therefore, we perform a model-independent Bayesian global
analysis and find that non-zero modifications of electron and muon neutrino
couplings are preferred at more than $99.99\%\,{\rm C.L.}$ (corresponding to
more than $4\,\sigma$). Our results show that constructive effects in the muon
sector are necessary, meaning simple models with right-handed neutrinos are
discarded and more sophisticated NP models required.",http://arxiv.org/abs/2009.03877v1,[],[]
Empirical Consequences of Emergent Mass,['Craig D. Roberts'],2020-09-08T22:36:22Z,2020-09-08T22:36:22Z,"The Lagrangian that defines quantum chromodynamics (QCD), the strong
interaction piece of the Standard Model, appears very simple. Nevertheless, it
is responsible for an astonishing array of high-level phenomena with enormous
apparent complexity, e.g., the existence, number and structure of atomic
nuclei. The source of all these things can be traced to emergent mass, which
might itself be QCD's self-stabilising mechanism. A background to this
perspective is provided, presenting, inter alia, a discussion of the gluon mass
and QCD's process-independent effective charge and highlighting an array of
observable expressions of emergent mass, ranging from its manifestations in
pion parton distributions to those in nucleon electromagnetic form factors.",http://arxiv.org/abs/2009.04011v1,[],[]
Contact interaction analysis of pion GTMDs,"['Jin-Li Zhang', 'Zhu-Fang Cui', 'Jia-Lun Ping', 'Craig D. Roberts']",2020-09-23T21:27:21Z,2020-09-23T21:27:21Z,"A contact interaction is used to calculate an array of pion twist-two, -three
and -four generalised transverse light-front momentum dependent parton
distribution functions (GTMDs). Despite the interaction's simplicity, many of
the results are physically relevant, amongst them a statement that GTMD size
and shape are largely prescribed by the scale of emergent hadronic mass.
Moreover, proceeding from GTMDs to generalised parton distributions (GPDs), it
is found that the pion's mass distribution form factor is harder than its
electromagnetic form factor, which is harder than the gravitational pressure
distribution form factor; the pressure in the neighbourhood of the pion's core
is commensurate with that at the centre of a neutron star; the shear pressure
is maximal when confinement forces become dominant within the pion; and the
spatial distribution of transversely polarised quarks within the pion is
asymmetric. Regarding transverse momentum dependent distribution functions
(TMDs), their magnitude and domain of support decrease with increasing twist.
The simplest Wigner distribution associated with the pion's twist-two
dressed-quark GTMD is sharply peaked on the kinematic domain associated with
valence-quark dominance; has a domain of negative support; and broadens as the
transverse position variable increases in magnitude.",http://arxiv.org/abs/2009.11384v1,[],[]
"Diffusion Monte Carlo calculations of fully-heavy (multiquark) bound
  states","['M. C. Gordillo', 'F. De Soto', 'J. Segovia']",2020-09-24T18:19:20Z,2020-09-24T18:19:20Z,"We use a diffusion Monte Carlo method to solve the many-body Schr\""odinger
equation describing fully-heavy tetraquark systems. This approach allows to
reduce the uncertainty of the numerical calculation at the percent level,
accounts for multi-particle correlations in the physical observables, and
avoids the usual quark-clustering assumed in other theoretical techniques
applied to the same problem. The interaction between particles was modeled by
the most general and accepted potential, i.e. a pairwise interaction including
Coulomb, linear-confining and hyperfine spin-spin terms. This means that, in
principle, our analysis should provide some rigorous statements about the mass
location of the all-heavy tetraquark ground states, which is particularly
timely due to the very recent observation made by the LHCb collaboration of
some enhancements in the invariant mass spectra of $J/\psi$-pairs. Our main
results are: (i) the $cc\bar c\bar c$, $cc\bar b\bar b$ ($bb\bar c\bar c$) and
$bb\bar b \bar b$ lowest-lying states are located well above their
corresponding meson-meson thresholds; (ii) the $J^{PC}=0^{++}$ $cc\bar c\bar c$
ground state with preferred quark-antiquark pair configurations is compatible
with the enhancement(s) observed by the LHCb collaboration; (iii) our results
for the $cc\bar c\bar b$ and $bb\bar c\bar b$ sectors seem to indicate that the
$0^+$ and $1^+$ ground states are almost degenerate with the $2^+$ located
around $100\,\text{MeV}$ above them; (iv) smaller mass splittings for the
$cb\bar c\bar b$ system are predicted, with absolute mass values in reasonable
agreement with other theoretical works; (v) the $1^{++}$ $cb\bar c\bar b$
tetraquark ground state lies at its lowest $S$-wave meson-meson threshold and
it is compatible with a molecular configuration.",http://arxiv.org/abs/2009.11889v1,[],[]
Resolving the Bethe-Salpeter kernel,"['Si-Xue Qin', 'Craig D. Roberts']",2020-09-28T21:27:38Z,2021-05-26T05:48:01Z,"A novel method for constructing a Bethe-Salpeter kernel for the meson
bound-state problem is described. It produces a closed-form kernel that is
symmetry-consistent (discrete and continuous) with the gap equation defined by
any admissible gluon-quark vertex. Applicable even when the diagrammatic
content of that vertex is unknown, the scheme can foster new synergies between
continuum and lattice approaches to strong interactions. The framework is
illustrated by demonstrating that the presence of a dressed-quark anomalous
magnetic moment in the gluon-quark vertex, an emergent feature of strong
interactions, can remedy many defects of widely used meson bound-state kernels,
including the level ordering of pseudoscalar and vector meson radial
excitations.",http://arxiv.org/abs/2009.13637v2,[],[]
"The $\mathbf{sQ\bar{q}\bar{q}}$ $\mathbf{(q=u,\,d;\, Q=c,\,b)}$
  tetraquarks in the chiral quark model","['Gang Yang', 'Jialun Ping', 'Jorge Segovia']",2021-01-13T08:25:50Z,2021-01-13T08:25:50Z,"The low-lying $sQ\bar{q}\bar{q}$ $(q=u,\,d,\, Q=c,\,b)$ tetraquark states
with $J^P=0^+$, $1^+$ and $2^+$, and in the isoscalar and isovector sectors,
are systematically investigated in the framework of real- and complex-scaling
range of a chiral quark model, whose parameters have been fixed in advance
describing hadron, hadron-hadron and multiquark phenomenology, and thus all
results presented here are pure predictions. Each tetraquark configuration,
compatible with the quantum numbers studied, is taken into account; this
includes meson-meson, diquark-antidiquark and K-type arrangements of quarks
with all possible color wave functions in four-body sector. Among the different
numerical techniques to solve the Schr\""odinger-like 4-body bound state
equation, we use a variational method in which the trial wave function is
expanded in complex-range Gaussian basis functions, because its simplicity and
flexibility. Several compact bound states and narrow resonances are found in
both charm-strange $cs\bar{q}\bar{q}$ and bottom-strange $bs\bar{q}\bar{q}$
tetraquark sectors, most of them as a product of the strong coupling between
the different channels. The so-called $X_{0,1}(2900)$ signals, recently found
by the LHCb collaboration, are unstable in our formalism with several
candidates in the single-channel computations.",http://arxiv.org/abs/2101.04933v1,[],[]
On Mass and Matter,['Craig D. Roberts'],2021-01-20T22:00:51Z,2021-01-20T22:00:51Z,"The visible Universe is largely characterised by a single mass-scale; namely,
the proton mass, $m_p$. Contemporary theory suggests that $m_p$ emerges as a
consequence of gluon self-interactions, which are a defining characteristic of
quantum chromodynamics (QCD), the theory of strong interactions in the Standard
Model. However, the proton is not elementary. Its mass appears as a corollary
of other, more basic emergent phenomena latent in the QCD Lagrangian, e.g.
generation of nuclear-size gluon and quark mass-scales, and a unique effective
charge that may describe QCD interactions at all accessible momentum scales.
These remarks are explained herein; and focusing on the distribution amplitudes
and functions of $\pi$ and $K$ mesons, promising paths for their empirical
verification are elucidated. Connected therewith, in anticipation that
production of $J/\psi$-mesons using $\pi$ and $K$ beams can provide access to
the gluon distributions in these pseudo-Nambu-Goldstone modes, predictions for
all $\pi$ and $K$ distribution functions are provided at the scale
$\zeta=m_{J/\psi}$.",http://arxiv.org/abs/2101.08340v1,[],[]
"Measures of pion and kaon structure from generalised parton
  distributions","['Jin-Li Zhang', 'Khépani Raya', 'Lei Chang', 'Zhu-Fang Cui', 'José Manuel Morgado', 'Craig D. Roberts', 'José Rodríguez-Quintero']",2021-01-28T21:32:57Z,2021-02-18T03:05:55Z,"Pion and kaon structural properties provide insights into the emergence of
mass within the Standard Model and attendant modulations by the Higgs boson.
Novel expressions of these effects, in impact parameter space and in mass and
pressure profiles, are exposed via $\pi$ and $K$ generalised parton
distributions, built using the overlap representation from light-front wave
functions constrained by one-dimensional valence distribution functions that
describe available data. Notably, e.g. $K$ pressure profiles are spatially more
compact than $\pi$ profiles and both achieve near-core pressures of similar
magnitude to that found in neutron stars.",http://arxiv.org/abs/2101.12286v2,[],[]
Dibaryon with highest charm number near unitarity from lattice QCD,"['Yan Lyu', 'Hui Tong', 'Takuya Sugiura', 'Sinya Aoki', 'Takumi Doi', 'Tetsuo Hatsuda', 'Jie Meng', 'Takaya Miyamoto']",2021-01-30T07:51:24Z,2021-07-14T02:47:12Z,"A pair of triply charmed baryons, $\Omega_{ccc}\Omega_{ccc}$, is studied as
an ideal dibaryon system by (2+1)-flavor lattice QCD with nearly physical
light-quark masses and the relativistic heavy quark action with the physical
charm quark mass. The spatial baryon-baryon correlation is related to their
scattering parameters on the basis of the HAL QCD method. The
$\Omega_{ccc}\Omega_{ccc}$ in the ${^1S_0}$ channel taking into account the
Coulomb repulsion with the charge form factor of $\Omega_{ccc}$ leads to the
scattering length $a^{\rm C}_0\simeq -19~\text{fm}$ and the effective range
$r^{\rm C}_{\mathrm{eff}}\simeq 0.45~\text{fm}$. The ratio $r^{\rm
C}_{\mathrm{eff}}/a^{\rm C}_0 \simeq -0.024$, whose magnitude is considerably
smaller than that of the dineutron ($-0.149$), indicates that
$\Omega_{ccc}\Omega_{ccc}$ is located in the unitary regime.",http://arxiv.org/abs/2102.00181v3,[],[]
Fresh extraction of the proton charge radius from electron scattering,"['Zhu-Fang Cui', 'Daniele Binosi', 'Craig D. Roberts', 'Sebastian M. Schmidt']",2021-02-01T21:30:51Z,2021-07-18T09:06:02Z,"We present a novel method for extracting the proton radius from elastic
electron-proton ($ep$) scattering data. The approach is based on interpolation
via continued fractions augmented by statistical sampling and avoids any
assumptions on the form of function used for the representation of data and
subsequent extrapolation onto $Q^2\simeq 0$. Applying the method to extant
modern $e p$ data sets, we find that all results are mutually consistent and,
combining them, arrive at $r_p=0.847(8)\,$fm. This result compares favourably
with values obtained from contemporary measurements of the Lamb shift in muonic
hydrogen, transitions in electronic hydrogen, and muonic deuterium
spectroscopy.",http://arxiv.org/abs/2102.01180v2,[],[]
"Insights into the Emergence of Mass from Studies of Pion and Kaon
  Structure","['Craig D. Roberts', 'David G. Richards', 'Tanja Horn', 'Lei Chang']",2021-02-02T21:35:10Z,2021-04-08T02:54:48Z,"There are two mass generating mechanisms in the standard model of particle
physics (SM). One is related to the Higgs boson and fairly well understood. The
other is embedded in quantum chromodynamics (QCD), the SM's strong interaction
piece; and although responsible for emergence of the roughly 1 GeV mass scale
that characterises the proton and hence all observable matter, the source and
impacts of this emergent hadronic mass (EHM) remain puzzling. As bound states
seeded by a valence-quark and -antiquark, pseudoscalar mesons present a simpler
problem in quantum field theory than that associated with the nucleon.
Consequently, there is a large array of robust predictions for pion and kaon
properties whose empirical validation will provide a clear window onto many
effects of both mass generating mechanisms and the constructive interference
between them. This has now become significant because new-era experimental
facilities, in operation, construction, or planning, are capable of conducting
such tests and thereby contributing greatly to resolving the puzzles of EHM.
These aspects of experiment, phenomenology, and theory, along with contemporary
successes and challenges, are sketched herein, simultaneously highlighting the
potential gains that can accrue from a coherent effort aimed at finally
reaching an understanding of the character and structure of Nature's
Nambu-Goldstone modes.",http://arxiv.org/abs/2102.01765v2,[],[]
"The Fermi constant from muon decay versus electroweak fits and CKM
  unitarity","['Andreas Crivellin', 'Martin Hoferichter', 'Claudio Andrea Manzari']",2021-02-04T19:00:01Z,2021-08-10T15:35:04Z,"The Fermi constant ($G_F$) is extremely well measured through the muon
lifetime, defining one of the key fundamental parameters in the Standard Model
(SM). Therefore, to search for physics beyond the SM (BSM) via $G_F$, the
constraining power is determined by the precision of the second-best
independent determination of $G_F$. The best alternative extractions of $G_F$
proceed either via the global electroweak (EW) fit or from superallowed $\beta$
decays in combination with the Cabibbo angle measured in kaon, $\tau$, or $D$
decays. Both variants display some tension with $G_F$ from muon decay, albeit
in opposite directions, reflecting the known tensions within the EW fit and
hints for the apparent violation of CKM unitarity, respectively. We investigate
how BSM physics could bring the three determinations of $G_F$ into agreement
using SM effective field theory and comment on future perspectives.",http://arxiv.org/abs/2102.02825v2,[],[]
"Masses of positive- and negative-parity hadron ground-states, including
  those with heavy quarks","['Pei-Lin Yin', 'Zhu-Fang Cui', 'Craig D. Roberts', 'Jorge Segovia']",2021-02-24T21:35:29Z,2021-02-24T21:35:29Z,"A symmetry-preserving treatment of a vector$\times$vector contact interaction
is used to compute spectra of ground-state $J^P = 0^\pm, 1^\pm$ $(f\bar g)$
mesons, their partner diquark correlations, and $J^P=1/2^\pm, 3/2^\pm$ $(fgh)$
baryons, where $f,g,h \in \{u,d,s,c,b\}$. Results for the leptonic decay
constants of all mesons are also obtained, including scalar and pseudovector
states involving heavy quarks. The spectrum of baryons produced by this chiefly
algebraic approach reproduces the 64 masses known empirically or computed using
lattice-regularised quantum chromodynamics with an accuracy of 1.4(1.2)%. It
also has the richness of states typical of constituent-quark models and
predicts many baryon states that have not yet been observed. The study
indicates that dynamical, nonpointlike diquark correlations play an important
role in all baryons; and, typically, the lightest allowed diquark is the most
important component of a baryon's Faddeev amplitude.",http://arxiv.org/abs/2102.12568v1,[],[]
High-precision determination of the $K_{e3}$ radiative corrections,"['Chien-Yeah Seng', 'Daniel Galviz', 'Mikhail Gorchtein', 'Ulf-G. Meißner']",2021-03-01T13:10:16Z,2021-07-16T15:22:21Z,"We report a high-precision calculation of the Standard Model electroweak
radiative corrections in the $K\to \pi e^+\nu(\gamma)$ decay as a part of the
combined theory effort to understand the existing anomaly in the determinations
of $V_{us}$. Our new analysis features a chiral resummation of the large
infrared-singular terms in the radiative corrections and a well-under-control
strong interaction uncertainty based on the most recent lattice QCD inputs.
While being consistent with the current state-of-the-art results obtained from
chiral perturbation theory, we reduce the existing theory uncertainty from
$10^{-3}$ to $10^{-4}$. Our result suggests that the Standard Model electroweak
effects cannot account for the $V_{us}$ anomaly.",http://arxiv.org/abs/2103.00975v2,[],[]
Distribution amplitudes of light diquarks,"['Ya Lu', 'Daniele Binosi', 'Minghui Ding', 'Craig D. Roberts', 'Hui-Yu Xing', 'Chang Xu']",2021-03-05T22:32:05Z,2021-03-13T05:39:58Z,"Accumulating evidence indicates that soft quark+quark (diquark) correlations
play an important role in the structure and interactions of hadrons constituted
from three or more valence-quarks; so, it is worth developing insights into
diquark structure. Using a leading-order truncation of those equations needed
to solve continuum two-valence-body bound-state problems, the leading-twist
two-parton distribution amplitudes (DAs) of light-quark scalar and pseudovector
diquarks are calculated. The diquark DAs are narrower and taller than the
asymptotic profile that characterises mesons. Consequently, the valence
quasiparticles in a diquark are less likely to carry a large light-front
fraction of the system's total momentum than those in a meson. These features
may both influence the form of baryon DAs and be transmitted to diquark
distribution functions (DFs), in which case their impact will be felt, e.g. in
the proton's $u$ and $d$ valence-quark DFs.",http://arxiv.org/abs/2103.03960v2,[],[]
"Improved $K_{e3}$ radiative corrections sharpen the $K_{μ
  2}$--$K_{l3}$ discrepancy","['Chien-Yeah Seng', 'Daniel Galviz', 'Mikhail Gorchtein', 'Ulf-G. Meißner']",2021-03-08T15:50:41Z,2021-11-22T10:47:41Z,"The measurements of $V_{us}$ in leptonic $(K_{\mu 2})$ and semileptonic
$(K_{l3})$ kaon decays exhibit a $3\sigma$ disagreement, which could originate
either from physics beyond the Standard Model or some large unidentified
Standard Model systematic effects. Clarifying this issue requires a careful
examination of all existing Standard Model inputs. Making use of a
newly-proposed computational framework and the most recent lattice QCD results,
we perform a comprehensive re-analysis of the electroweak radiative corrections
to the $K_{e3}$ decay rates that achieves an unprecedented level of precision
of $10^{-4}$, which improves the current best results by almost an order of
magnitude. No large systematic effects are found, which suggests that the
electroweak radiative corrections should be removed from the ``list of
culprits'' responsible for the $K_{\mu 2}$--$K_{l3}$ discrepancy.",http://arxiv.org/abs/2103.04843v2,[],[]
Heavy+light pseudoscalar meson semileptonic transitions,"['Zhen-Ni Xu', 'Zhu-Fang Cui', 'Craig D. Roberts', 'Chang Xu']",2021-03-29T21:37:06Z,2021-03-29T21:37:06Z,"A symmetry-preserving regularisation of a vector$\times$vector contact
interaction (SCI) is used to deliver a unified treatment of semileptonic
transitions involving $\pi$, $K$, $D_{(s)}$, $B_{(s,c)}$ initial states. The
framework is characterised by algebraic simplicity, few parameters, and the
ability to simultaneously treat systems from Nambu-Goldstone modes to
heavy+heavy mesons. Although the SCI form factors are typically somewhat stiff,
the results are comparable with experiment and rigorous theory results. Hence,
predictions for the five unmeasured $B_{s,c}$ branching fractions should be a
reasonable guide. The analysis provides insights into the effects of Higgs
boson couplings via current-quark masses on the transition form factors; and
results on $B_{(s)}\to D_{(s)}$ transitions yield a prediction for the
Isgur-Wise function in fair agreement with contemporary data.",http://arxiv.org/abs/2103.15964v1,[],[]
"The bosonic algebraic approach applied to the $[QQ][\bar{Q}\bar{Q}]$
  tetraquarks","['A. J. Majarshin', 'Yan-An Luo', 'Feng Pan', 'Jorge Segovia']",2021-06-02T14:21:37Z,2021-06-02T14:21:37Z,"The exact eigenenergies of the $T_{4c}=[cc][\bar{c}\bar{c}]$,
$T_{4b}=[bb][\bar{b}\bar{b}]$, and $T_{2[bc]}=[bc][\bar{b}\bar{c}]$ tetraquarks
are calculated within the extended transitional Hamiltonian approach, in which
the so-called Bethe \emph{ansatz} within an infinite-dimensional Lie algebra is
used. We fit the parameters appearing in the transitional region from
phenomenology associated with potential candidates of tetraquarks. The rotation
and vibration transitional theory seems to provide a better description of
heavy tetraquarks than other attempts within the same formalism. Our results
indicate that the pairing strengths are large enough to provide binding; an
extended comparison with the current literature is also performed.",http://arxiv.org/abs/2106.01179v1,[],[]
"Dispersion-theoretical analysis of the electromagnetic form factors of
  the nucleon: Past, present and future","['Yong-Hui Lin', 'Hans-Werner Hammer', 'Ulf-G. Meißner']",2021-06-11T12:56:12Z,2021-06-11T12:56:12Z,"We review the dispersion-theoretical analysis of the electromagnetic form
factors of the nucleon. We emphasize in particular the role of unitarity and
analyticity in the construction of the isoscalar and isovector spectral
functions. We present new results on the extraction of the nucleon radii, the
electric and magnetic form factors and the extraction of $\omega$-meson
couplings. All this is supplemented by a detailed calculation of the
theoretical uncertainties, using bootstrap and Bayesian methods to pin down the
statistical errors, while systematic errors are determined from variations of
the spectral functions. We also discuss the physics of the time-like form
factors and point out further issues to be addressed in this framework.",http://arxiv.org/abs/2106.06357v1,[],[]
Vector-meson production and vector meson dominance,"['Yin-Zhen Xu', 'Si-Yang Chen', 'Zhao-Qian Yao', 'Daniele Binosi', 'Zhu-Fang Cui', 'Craig D. Roberts']",2021-07-07T21:24:54Z,2021-07-07T21:24:54Z,"We consider the fidelity of the vector meson dominance (VMD) assumption as an
instrument for relating the electromagnetic vector-meson production reaction $e
+ p \to e^\prime + V + p$ to the purely hadronic process $V + p \to V+p$.
Analyses of the photon vacuum polarisation and the photon-quark vertex reveal
that such a VMD Ansatz might be reasonable for light vector-mesons. However,
when the vector-mesons are described by momentum-dependent bound-state
amplitudes, VMD fails for heavy vector-mesons: it cannot be used reliably to
estimate either a photon-to-vector-meson transition strength or the momentum
dependence of those integrands that would arise in calculations of the
different reaction amplitudes. Consequently, for processes involving heavy
mesons, the veracity of both cross-section estimates and conclusions based on
the VMD assumption should be reviewed, e.g., those relating to hidden-charm
pentaquark production and the origin of the proton mass.",http://arxiv.org/abs/2107.03488v1,[],[]
"Test of the hyperon-nucleon interaction within leading order covariant
  chiral effective field theory","['Jing Song', 'Zhi-Wei Liu', 'Kai-Wen Li', 'Li-Sheng Geng']",2021-07-10T03:09:25Z,2022-03-20T14:31:09Z,"Motivated by the recent experimental measurements of differential cross
sections of the $\Sigma^{-}p$ elastic scattering in the momentum range of $470$
to $850$ MeV$/c$ by the J-PARC E$40$ experiment, we extend our previous studies
of $S=-1$ hyperon-nucleon interactions to relatively higher energies up to
$900$ MeV$/c$ for both the coupled-channel $\Lambda p\rightarrow(\Lambda p,
\Sigma^{+}n, \Sigma^{0}p)$, $\Sigma^{-}p\rightarrow(\Lambda n, \Sigma^{0}n,
\Sigma^{-}p)$ and single-channel $\Sigma^{+}p\rightarrow\Sigma^{+}p$ reactions.
We show that although the leading order covariant chiral effective field theory
is only constrained by the low energy data, it can describe the high energy
data reasonably well, in particular, the J-PARC E40 differential cross
sections. The predicted cusp structure close to the $\Sigma N$ threshold in the
$\Lambda p\to \Lambda p$ reaction agrees with the latest ALICE observation as
well as with the results of the next-to-leading order heavy baryon chiral
effective theory. On the other hand, the comparison with the latest CLAS data
on the $\Lambda p$ cross sections between 0.9 and 2.0 GeV$/c$ clearly indicates
the need of higher order chiral potentials for such high momenta. This is also
the case for the latest J-PARC data on the $\Sigma p \rightarrow \Lambda n$
differential cross sections. Nevertheless, even for these cases, the
predictions are in qualitative agreement with the data, albeit with large
uncertainties, implying that the predicted total and differential cross
sections are of relevance for ongoing and planned experiments.",http://arxiv.org/abs/2107.04742v2,[],[]
"Unpolarized gluon distribution in the nucleon from lattice quantum
  chromodynamics","['Tanjib Khan', 'Raza Sabbir Sufian', 'Joseph Karpie', 'Christopher J. Monahan', 'Colin Egerer', 'Bálint Joó', 'Wayne Morris', 'Kostas Orginos', 'Anatoly Radyushkin', 'David G. Richards', 'Eloy Romero', 'Savvas Zafeiropoulos']",2021-07-19T15:17:54Z,2021-10-21T14:01:55Z,"In this study, we present a determination of the unpolarized gluon Ioffe-time
distribution in the nucleon from a first principles lattice quantum
chromodynamics calculation. We carry out the lattice calculation on a
$32^3\times 64$ ensemble with a pion mass of $358$ MeV and lattice spacing of
$0.094$ fm. We construct the nucleon interpolating fields using the
distillation technique, flow the gauge fields using the gradient flow, and
solve the summed generalized eigenvalue problem to determine the glounic matrix
elements. Combining these techniques allows us to provide a statistically
well-controlled Ioffe-time distribution and unpolarized gluon PDF. We obtain
the flow time independent reduced Ioffe-time pseudo-distribution, and calculate
the light-cone Ioffe-time distribution and unpolarized gluon distribution
function in the $\overline{\rm MS}$ scheme at $\mu = 2$ GeV, neglecting the
mixing of the gluon operator with the quark singlet sector. Finally, we compare
our results to phenomenological determinations.",http://arxiv.org/abs/2107.08960v2,[],[]
Spinless mesons and glueballs mixing patterns in SU(3) flavor limit,"['Amir H. Fariborz', 'Mars Lyukova']",2021-07-26T15:16:27Z,2021-07-26T15:16:27Z,"We present a detailed study of the interactions among scalar and pseudoscalar
mesons and glueballs within the framework of the generalized linear sigma model
in the SU(3) flavor limit. The basis of our approach is to develop a global
understanding of light scalar and pseudoscalar mesons (up to around 2 GeV) and
thereby explore the underlying mixings among composite quark matter fields and
glueballs. The chiral sector of the Lagrangian is formulated in terms of two
chiral nonets representing quark-antiquarks and tetraquarks (in the leading
order, this sector contains terms with eight or fewer number of quak or
antiquark lines). The Lagrangian also contains a sector that represents scalar
and pseudoscalar glueballs and their interactions with the matter chiral
fields, in a manner that the axial and trace anomalies of QCD are exactly
realized. In this construct, the model has two scalar octets and two
pdeudoscalar octets (each a linear combination of two- and four-quark
components), as well as three scalar SU(3) singlets and three pseudoscalar
SU(3) singlets (each a linear combination of two- and four-quark components as
well as a glueball component). With the inputs of the experimental masses of
$a_0(980)$, $a_0(1450)$, and the masses of $\pi(137)$, $\pi(1300)$ and their
decay constants, we perform an extensive numerical simulation to determine the
boundaries of the parameter space of the model. We further incorporate
experimental data on the mass spectrum of eta states as well as on several
decay widths and decay ratios of $f_0$ states to zoom in on the parameter space
and make predictions for the substructure of pseudoscalar and scalar SU(3)
octets and singlets as well as for the pseudoscalar and scalar glueball masses.
We find the scalar and pseudoscalar glueball masses around 1.6 and 2.0 GeV,
respectively.",http://arxiv.org/abs/2107.12266v1,[],[]
"Update on $|V_{us}|$ and $|V_{us}/V_{ud}|$ from semileptonic kaon and
  pion decays","['Chien-Yeah Seng', 'Daniel Galviz', 'William J. Marciano', 'Ulf-G. Meißner']",2021-07-30T15:30:57Z,2021-12-19T09:53:13Z,"We discuss the recent progress in the study of semileptonic kaon and pion
decays, including new experimental results, improved electroweak radiative
corrections, form factor calculations and isospin-breaking effects. As a
result, we obtain $|V_{us}|=0.22309(40)(39)(3)$ from kaon semileptonic decays
and $|V_{us}/V_{ud}|=0.22908(66)(41)(40)(2)(1)$ from the ratio between the kaon
and pion semileptonic decay rates. We report an apparent violation of the
top-row Cabibbo-Kobayashi-Maskawa matrix unitarity at a $3.2\sim 5.6\sigma$
level, and a discrepancy at a $2.2\sigma$ level between the value of
$|V_{us}/V_{ud}|$ determined from the vector and axial charged weak
interactions. Prospects for future improvements in those comparative precision
tests involving $|V_{ud}|$, $|V_{us}|$ and their implications for physics
beyond the Standard Model are described.",http://arxiv.org/abs/2107.14708v2,[],[]
"Radiative corrections to semileptonic beta decays: Progress and
  challenges",['Chien-Yeah Seng'],2021-08-06T19:22:05Z,2021-09-24T12:25:47Z,"We review some recent progress in the theory of electroweak radiative
corrections in semileptonic decay processes. The resurrection of the so-called
Sirlin's representation based on current algebra relations permits a clear
separation between the perturbatively-calculable and incalculable pieces in the
$\mathcal{O}(G_F\alpha)$ radiative corrections. The latter are expressed as
compact hadronic matrix elements that allow systematic non-perturbative
analysis such as dispersion relation and lattice QCD. This brings substantial
improvements to the precision of the electroweak radiative corrections in
semileptonic decays of pion, kaon, free neutron and $J^P=0^+$ nuclei that are
important theory inputs in precision tests of the Standard Model. Unresolved
issues and future prospects are discussed.",http://arxiv.org/abs/2108.03279v2,[],[]
Pion charge radius from pion+electron elastic scattering data,"['Zhu-Fang Cui', 'Daniele Binosi', 'Craig D. Roberts', 'Sebastian M. Schmidt']",2021-08-10T22:09:53Z,2021-08-10T22:09:53Z,"With the aim of extracting the pion charge radius, we analyse extant precise
pion+electron elastic scattering data on $Q^2 \in [0.015,0.144]\,$GeV$^2$ using
a method based on interpolation via continued fractions augmented by
statistical sampling. The scheme avoids any assumptions on the form of function
used for the representation of data and subsequent extrapolation onto
$Q^2\simeq 0$. Combining results obtained from the two available data sets, we
obtain $r_\pi = 0.640(7)\,$fm, a value $2.4\,\sigma$ below today's commonly
quoted average. The tension may be relieved by collection and similar analysis
of new precise data that densely cover a domain which reaches well below $Q^2 =
0.015\,$GeV$^2$. Considering available kaon+electron elastic scattering data
sets, our analysis reveals that they contain insufficient information to
extract an objective result for the charged-kaon radius, $r_K$. New data with
much improved precision, low-$Q^2$ reach and coverage are necessary before a
sound result for $r_K$ can be recorded.",http://arxiv.org/abs/2108.04948v1,[],[]
